servicio,paradero,promedio_bus_hora,geo_parader,geo_parader_lat,geo_parader_lon,calificacion
104I,PC22,12.125,0101000020E6100000E49234D3BDA651C00FDCA83332B640C0,-33.4234070372114,-70.6053359998146,1
104I,PC23,12.625,0101000020E6100000C6894598A2A651C0CCAC5316A5B640C0,-33.4269130619592,-70.603673999699,1
104I,PC24,13.0,0101000020E6100000D1316F0B96A651C0C2AA8E0803B740C0,-33.4297800728432,-70.6029079995999,1
104I,PC25,13.25,0101000020E610000064D39B8F81A651C072C0B4D499B740C0,-33.4343820459916,-70.6016577741371,1
104I,PC26,13.25,0101000020E6100000707CBA4A77A651C0562B2D50E6B740C0,-33.4367161007455,-70.6010310002473,1
104I,PC27,11.875,0101000020E610000048F6748F6CA651C0FEC1E9F434B840C0,-33.4391161099811,-70.6003759996612,1
104I,PC28,13.75,0101000020E61000007830616F62A651C04BDFE9397EB840C0,-33.4413521186785,-70.5997580002894,1
104I,PC37,13.166666666666666,0101000020E6100000D944B8CCE9A651C058F4370AD7B540C0,-33.4206249974456,-70.6080200004102,1
104I,PD107,15.333333333333334,0101000020E61000002463558847A651C095AC94F647BA40C0,-33.4553211427639,-70.5981160005436,1
104I,PD1417,13.791666666666666,0101000020E61000007A958EE301A651C072FB8B8F58C040C0,-33.5027026589877,-70.5938652889653,1
104I,PD1449,14.625,0101000020E61000004EC5A7E460A651C01800C61B63BE40C0,-33.4873995510863,-70.5996638906847,1
104I,PD53,13.291666666666666,0101000020E6100000DA67F1ED58A651C02A3129C806B940C0,-33.4455194665082,-70.5991778237798,1
104I,PD54,13.625,0101000020E6100000C5B52D074BA651C0498508197DB940C0,-33.4491301814656,-70.5983293482196,1
104I,PD56,12.458333333333334,0101000020E6100000B0AAD0B649A651C0FD74F768C6B940C0,-33.451367493466,-70.5982491529237,1
104I,PD57,13.208333333333334,0101000020E6100000CE81BAE74EA651C06A6AA3A804BA40C0,-33.4532671735695,-70.5985659905775,1
104I,PD58,14.833333333333334,0101000020E610000085206D4D47A651C08E070A6CBFBA40C0,-33.4589667366955,-70.5981019559568,1
104I,PD59,11.75,0101000020E610000028F3774E49A651C07619F0CB14BB40C0,-33.4615721628533,-70.5982242747674,1
104I,PD60,13.083333333333334,0101000020E6100000C315DB334BA651C01D5FD10459BB40C0,-33.4636541387865,-70.5983400001051,1
104I,PD61,13.875,0101000020E61000005E7086DF4DA651C05261A8DEB0BB40C0,-33.4663351366204,-70.5985029995804,1
104I,PD62,13.5,0101000020E6100000515B9EE74FA651C0380842D204BC40C0,-33.4688971350119,-70.5986269995167,1
104I,PD63,14.208333333333334,0101000020E610000097EBE9CD51A651C05AD954D842BC40C0,-33.4707899488737,-70.5987429413202,1
104I,PD64,15.75,0101000020E61000008000E5B853A651C0963CA7749BBC40C0,-33.4734941307626,-70.598860000262,1
104I,PD65,15.291666666666666,0101000020E6100000A9B6340456A651C045A92A3CF6BC40C0,-33.4762644966418,-70.5990000262051,1
104I,PD66,16.625,0101000020E61000002BB4368E58A651C06CED497750BD40C0,-33.4790181265806,-70.5991550001351,1
104I,PD67,16.041666666666668,0101000020E6100000EC8D29FF5AA651C03AF7B68EB1BD40C0,-33.4819811242473,-70.5993039995007,1
104I,PD68,17.333333333333332,0101000020E6100000E8EEA6AE5DA651C074FC62FA14BE40C0,-33.4850151999789,-70.5994679098327,1
104I,PD69,16.041666666666668,0101000020E6100000563B104962A651C09AB04772B4BE40C0,-33.4898817873047,-70.5997488649858,1
104I,PD70,17.25,0101000020E6100000FBFF234564A651C04125B4371BBF40C0,-33.4930181150071,-70.5998700000345,1
104I,PD71,14.666666666666666,0101000020E6100000D065B6114FA651C022200D6B87BF40C0,-33.4963201345529,-70.5985760003307,1
104I,PD72,12.416666666666666,0101000020E6100000692884CB31A651C0F44C8FAED7BF40C0,-33.4987695884428,-70.5967892447094,1
104I,PD73,13.958333333333334,0101000020E6100000847BDBE518A651C0DC2A645A1AC040C0,-33.5008042325114,-70.5952696460136,1
